,Kata ID,Kata Name,Languages,Completed Date,Completion Period,Category,Total Attempts,Total Completed,Tags,Rank,Color
0,58d248c7012397a81800005c,Find out whether the shape is a cube,['python'],2023-02-14,Feb-23,reference,29108,8949,['Fundamentals'],8 kyu,white
1,57e1e61ba396b3727c000251,String cleaning,['python'],2023-02-14,Feb-23,reference,39416,17688,"['Regular Expressions', 'Fundamentals', 'Strings']",8 kyu,white
2,555a67db74814aa4ee0001b5,Is it even?,['python'],2023-02-14,Feb-23,reference,70482,38630,['Fundamentals'],8 kyu,white
3,54df2067ecaa226eca000229,Gauß needs help! (Sums  of a lot of numbers).,['python'],2023-02-13,Feb-23,reference,126876,13011,"['Fundamentals', 'Mathematics', 'Performance']",7 kyu,white
4,5420fc9bb5b2c7fd57000004,Highest Rank Number in an Array,['python'],2023-02-13,Feb-23,reference,71029,12093,"['Arrays', 'Fundamentals']",6 kyu,yellow
5,580dda86c40fa6c45f00028a,Sum of Odd Cubed Numbers,['python'],2023-02-13,Feb-23,reference,39843,8034,"['Fundamentals', 'Functional Programming', 'Arrays']",7 kyu,white
6,57a049e253ba33ac5e000212,Factorial,['python'],2023-02-13,Feb-23,reference,39406,18068,['Fundamentals'],7 kyu,white
7,56dbe0e313c2f63be4000b25,Moves in squared strings (I),['python'],2023-02-13,Feb-23,reference,46952,11251,"['Fundamentals', 'Algorithms', 'Strings']",7 kyu,white
8,5410c0e6a0e736cf5b000e69,Hamming Distance,['python'],2023-02-13,Feb-23,algorithms,11731,5614,['Algorithms'],6 kyu,yellow
9,56a3f08aa9a6cc9b75000023,Simple validation of a username with regex,['python'],2023-02-12,Feb-23,reference,68266,17727,"['Regular Expressions', 'Fundamentals']",8 kyu,white
10,51f9d93b4095e0a7200001b8,How many lightsabers do you own?,['python'],2023-02-12,Feb-23,reference,89692,30045,['Fundamentals'],8 kyu,white
11,5a03b3f6a1c9040084001765,Sum of angles,['python'],2023-02-12,Feb-23,reference,49253,25982,"['Geometry', 'Fundamentals']",7 kyu,white
12,58b8c94b7df3f116eb00005b,Simple Fun #176: Reverse Letter,['python'],2023-02-11,Feb-23,reference,87618,24456,['Fundamentals'],7 kyu,white
13,57cff961eca260b71900008f,Is there a vowel in there?,['python'],2023-02-11,Feb-23,reference,30620,10594,"['Fundamentals', 'Strings', 'Arrays']",8 kyu,white
14,582dafb611d576b745000b74,For UFC Fans (Total Beginners): Conor McGregor vs George Saint Pierre,['python'],2023-02-08,Feb-23,reference,31222,10454,['Fundamentals'],8 kyu,white
15,563a631f7cbbc236cf0000c2,Grasshopper - Terminal game move function,['python'],2023-02-08,Feb-23,reference,56848,40491,['Fundamentals'],8 kyu,white
16,5dd462a573ee6d0014ce715b,Check same case,['python'],2023-02-08,Feb-23,reference,48158,15083,['Fundamentals'],8 kyu,white
17,5783d8f3202c0e486c001d23,Convert an array of strings to array of numbers,['python'],2023-02-08,Feb-23,reference,17563,9397,"['Arrays', 'Parsing', 'Strings', 'Fundamentals']",7 kyu,white
18,56b29582461215098d00000f,Lario and Muigi Pipe Problem,['python'],2023-02-08,Feb-23,reference,55338,23302,"['Lists', 'Fundamentals']",8 kyu,white
19,569d488d61b812a0f7000015,Data Reverse,['python'],2023-02-08,Feb-23,reference,62893,18836,"['Arrays', 'Fundamentals']",6 kyu,yellow
20,565f5825379664a26b00007c,Surface  Area and Volume of a Box,['python'],2023-02-07,Feb-23,reference,40867,19260,"['Geometry', 'Fundamentals']",8 kyu,white
21,57ed30dde7728215300005fa,Bumps in the Road,['python'],2023-02-06,Feb-23,reference,37981,14260,"['Fundamentals', 'Strings']",7 kyu,white
22,559f80b87fa8512e3e0000f5,Are arrow functions odd?,['python'],2023-02-06,Feb-23,reference,18251,11186,['Fundamentals'],8 kyu,white
23,5a523566b3bfa84c2e00010b,Minimize  Sum Of Array (Array Series #1)   ,['python'],2023-02-06,Feb-23,reference,34743,11955,"['Fundamentals', 'Arrays']",7 kyu,white
24,57158fb92ad763bb180004e7,Fix your code before the garden dies! ,['python'],2023-02-06,Feb-23,reference,34541,10835,"['Fundamentals', 'Debugging']",8 kyu,white
25,59377c53e66267c8f6000027,Alphabet war,['python'],2023-02-03,Feb-23,reference,36410,12554,"['Fundamentals', 'Strings']",7 kyu,white
26,582e0e592029ea10530009ce,Duck Duck Goose,['python'],2023-02-03,Feb-23,reference,47041,9235,"['Arrays', 'Lists', 'Fundamentals']",8 kyu,white
27,56dae9dc54c0acd29d00109a,Grasshopper - Function syntax debugging,['python'],2023-02-03,Feb-23,reference,29420,20561,['Fundamentals'],8 kyu,white
28,555eded1ad94b00403000071,Sum of the first nth term of Series,['python'],2023-02-03,Feb-23,reference,379690,69796,['Fundamentals'],7 kyu,white
29,559d2284b5bb6799e9000047,Add Length,['python'],2023-01-31,Jan-23,reference,39790,18573,"['Arrays', 'Lists', 'Fundamentals']",8 kyu,white
30,56f3a1e899b386da78000732,Parts of a list,['python'],2023-01-31,Jan-23,reference,46395,12598,"['Arrays', 'Lists', 'Data Structures', 'Algorithms']",7 kyu,white
31,55a5befdf16499bffb00007b,Fundamentals: Return,['python'],2023-01-31,Jan-23,reference,31547,12163,['Fundamentals'],8 kyu,white
32,545991b4cbae2a5fda000158,Enumerable Magic - Does My List Include This?,['python'],2023-01-31,Jan-23,reference,29121,16423,['Fundamentals'],8 kyu,white
33,58bf9bd943fadb2a980000a7,Who is going to pay for the wall?,['python'],2023-01-31,Jan-23,reference,27464,9445,"['Fundamentals', 'Strings']",8 kyu,white
34,56a946cd7bd95ccab2000055,Regex count lowercase letters,['python'],2023-01-29,Jan-23,reference,31789,12767,"['Fundamentals', 'Regular Expressions', 'Algorithms']",8 kyu,white
35,56a25ba95df27b7743000016,validate code with simple regex,['python'],2023-01-29,Jan-23,reference,25055,9884,"['Regular Expressions', 'Fundamentals']",8 kyu,white
36,58fa273ca6d84c158e000052,Number of Decimal Digits,['python'],2023-01-29,Jan-23,reference,38307,19710,"['Strings', 'Fundamentals']",7 kyu,white
37,5810085c533d69f4980001cf,simple calculator ,['python'],2023-01-29,Jan-23,reference,56092,10747,['Fundamentals'],8 kyu,white
